Code	LG
10	LG001
20	LG002
30	LG003
40	LG004
50	LG005
60	LG006
70	LG007
80	LG008
90	LG009
100	LG010
110	LG011
120	LG012
130	LG013
140	LG014
150	LG015
160	LG016
170	LG017
180	LG018
190	LG019
200	LG020
210	LG021
220	LG022
230	LG023
240	LG024
250	LG025
260	LG026
270	LG027
280	LG028
290	LG029
300	LG030
310	LG031
320	LG032
330	LG033
340	LG034
350	LG035
360	LG036
370	LG037
380	LG038
390	LG039
400	LG040
410	LG041
420	LG042
430	LG043
440	LG044
450	LG045
460	LG046
470	LG047
480	LG048
490	LG049
500	LG050
510	LG051
520	LG052
530	LG053
540	LG054
550	LG055
560	LG056
570	LG057
580	LG058
590	LG059
600	LG060
610	LG061
620	LG062
630	LG063
640	LG064
650	LG065
660	LG066
670	LG067
680	LG068
690	LG069
700	LG070
710	LG071
720	LG072
730	LG073
740	LG074
750	LG075
760	LG076
770	LG077
780	LG078
790	LG079
800	LG080
810	LG081
820	LG082
830	LG083
840	LG084
850	LG085
860	LG086
870	LG087
880	LG088
890	LG089
900	LG090
910	LG091
920	LG092
930	LG093
940	LG094
950	LG095
951	LG096
952	LG097
953	LG098
960	LG100
970	LG101
980	LG102
990	LG103
1000	Okänd
1010	LG104
1020	LG105
1030	LG106
1040	LG107
1050	LG108
1060	LG109
1070	LG110
1080	LG111
1090	LG112
1100	LG113
1110	LG114
1120	LG115
1130	LG116
1140	LG117
1150	LG118
1160	LG119
1170	LG120
1180	LG121
1190	LG122
1200	LG123
1210	LG124
1220	LG125
1230	LG126
1240	LG127
1250	LG128
1260	LG129
1270	LG130
1280	LG131
1290	LG132
1300	LG133
1310	LG134
1320	LG135
1330	LG136
1340	LG137
1350	LG138
1360	LG139
1370	LG140
1380	LG141
1390	LG142
1400	LG143
1410	LG410
1420	LG500
1430	LG550
1435	LG555
1440	LG557
1450	LG661
1460	LG700
1470	LG701
1480	LG710
1490	LG720
1500	LG720
1510	LG730
1520	LG740
1530	LG750
1535	LG760
1540	LG770
1550	LG780
1560	LG790
