Code	Littera
201 GT6	201 GT6
201 VVRN	201 VVRN
AL1 S1	AL1 S1
AL1 S10	AL1 S10
AL1 S2	AL1 S2
AL1 S3	AL1 S3
AL1 S4	AL1 S4
AL1 S5	AL1 S5
AL1 S6	AL1 S6
AL1 S7	AL1 S7
AL1 S8	AL1 S8
AL1 S9	AL1 S9
AL12 S1-2	AL12 S1-2
AL12 S3	AL12 S3
AL2 S1-2	AL2 S1-2
AL2 S3	AL2 S3
AL2 S8	AL2 S8
AL2 S9	AL2 S9
AL22 S1-2	AL22 S1-2
AL22 S3-4	AL22 S3-4
AL22 S5	AL22 S5
AL22 S8	AL22 S8
AL22 S9	AL22 S9
AL25	AL25
AL26	AL26
AL3 S1	AL3 S1
AL3 S2	AL3 S2
AL3 S3	AL3 S3
AL3 S4	AL3 S4
AL3 S5	AL3 S5
AL3 S8	AL3 S8
AL3 S9	AL3 S9
AL31	AL31
AL4	AL4
AL5 S1	AL5 S1
AL5 S2-3	AL5 S2-3
AL5 S8	AL5 S8
AL6	AL6
AL6 S1	AL6 S1
AL6 S2	AL6 S2
AL6 S3	AL6 S3
AL6 S4	AL6 S4
AL6 S5-6	AL6 S5-6
AL6 S7	AL6 S7
AL6 S8	AL6 S8
AL6 S9	AL6 S9
AL7 S1	AL7 S1
AL7 S2	AL7 S2
AL7 S3	AL7 S3
AL7 S4	AL7 S4
AL7 S9	AL7 S9
AL9	AL9
Baltic	Baltic
CL1 S2-3	CL1 S2-3
CL1 S4	CL1 S4
CL1 S5	CL1 S5
CL1 S6	CL1 S6
CL11 S1-2	CL11 S1-2
CL11 S3-5	CL11 S3-5
CL11 S6-7	CL11 S6-7
CL12 S7	CL12 S7
CL14 S1-2	CL14 S1-2
CL22 S1-2	CL22 S1-2
CL22 S1-4	CL22 S1-4
CL22 S3-6	CL22 S3-6
CL22 S5	CL22 S5
CL22 S6	CL22 S6
CL22 S7	CL22 S7
CL23	CL23
CL24	CL24
CL26 S1	CL26 S1
CL26 S2	CL26 S2
CL26 S3	CL26 S3
CL26 S3-4	CL26 S3-4
CL26 S4	CL26 S4
CL26 S5-6	CL26 S5-6
CL26 S7	CL26 S7
CL26 S8	CL26 S8
CL26 S9	CL26 S9
CL29	CL29
CL3 S0	CL3 S0
CL3 S1	CL3 S1
CL3 S2	CL3 S2
CL3 S3	CL3 S3
CL3 S4	CL3 S4
CL3 S5	CL3 S5
CL3 S6	CL3 S6
CL3 S7	CL3 S7
CL3 S8	CL3 S8
CL3 S9	CL3 S9
CL32 S1-3	CL32 S1-3
CL32 S4-6	CL32 S4-6
CL33 S1-2	CL33 S1-2
CL33 S3-4	CL33 S3-4
CL34 S1-4	CL34 S1-4
CL34 S5-6	CL34 S5-6
CL34 S9	CL34 S9
CL35	CL35
CL35 S1-4	CL35 S1-4
CL35 S5-6	CL35 S5-6
CL4 S1-3	CL4 S1-3
CL4 S4	CL4 S4
CL4 S5	CL4 S5
CL44 S5-7	CL44 S5-7
CL44 S9	CL44 S9
CL5 S1-2	CL5 S1-2
CL5 S3	CL5 S3
CL5 S4-5	CL5 S4-5
CL5 S6-7	CL5 S6-7
CL51	CL51
CL51 S1-2	CL51 S1-2
CL51 S3-6	CL51 S3-6
CL55	CL55
CL6 S1-2	CL6 S1-2
CL6 S3	CL6 S3
CL6 S4-5	CL6 S4-5
CL6 S6-8	CL6 S6-8
CL7 S1-2	CL7 S1-2
CL7 S3-4	CL7 S3-4
CL7 S5-6	CL7 S5-6
CL7 S7	CL7 S7
CL9 S1	CL9 S1
CL9 S2	CL9 S2
CL9 S5	CL9 S5
CT11 T4	CT11 T4
CT11 T8	CT11 T8
CT269 T3	CT269 T3
CT269 T5	CT269 T5
CT34 T3	CT34 T3
CT34 T4	CT34 T4
CT63 T1	CT63 T1
CT64 T1	CT64 T1
CT64 T2	CT64 T2
CT65 T1	CT65 T1
CT65 T2	CT65 T2
FL1 S1-3	FL1 S1-3
FL1 S4-5	FL1 S4-5
FL1 S6-7	FL1 S6-7
FL110	FL110
FL12 S1-2	FL12 S1-2
FL12 S1-4	FL12 S1-4
FL12 S3-4	FL12 S3-4
FL120	FL120
FL14 S1-2	FL14 S1-2
FL14 S3-4	FL14 S3-4
FL17 S1-4	FL17 S1-4
FL18 S1-2	FL18 S1-2
FL18 S5-6	FL18 S5-6
FL18 S7-8	FL18 S7-8
FL2 S1-4	FL2 S1-4
FL2 S7	FL2 S7
FL210	FL210
FL22 S1-3	FL22 S1-3
FL22 S4	FL22 S4
FL220	FL220
FL23	FL23
FL24 S1-2	FL24 S1-2
FL24 S1-4	FL24 S1-4
FL24 S3-4	FL24 S3-4
FL25	FL25
FL3 S1	FL3 S1
FL31 S1-2	FL31 S1-2
FL31 S3-4	FL31 S3-4
FL4 S1-4	FL4 S1-4
FL4 S5-6	FL4 S5-6
FL4 S7	FL4 S7
FL4 S8	FL4 S8
FL5 S1-2	FL5 S1-2
FL5 S3-4	FL5 S3-4
FL5 S5-6	FL5 S5-6
FL5 S7-8	FL5 S7-8
FL6 S1-2	FL6 S1-2
FL6 S3	FL6 S3
FL6 S4	FL6 S4
FL6 S5-6	FL6 S5-6
FL6 S5-8	FL6 S5-8
FL6 S7-8	FL6 S7-8
FL66	FL66
FL67	FL67
FL68	FL68
FL69	FL69
FL7 S3-4	FL7 S3-4
FL7 S5-6	FL7 S5-6
FL7 S7-8	FL7 S7-8
FL7 S9	FL7 S9
FL8 S1	FL8 S1
FL8 S2-4	FL8 S2-4
FL9 S1	FL9 S1
FL9 S2	FL9 S2
FL9 S3	FL9 S3
FL9 S3-4	FL9 S3-4
FL9 S4	FL9 S4
FL9 S5-6	FL9 S5-6
FT31 T1	FT31 T1
K201	K201
K202	K202
K211	K211
K212	K212
KL1	KL1
KL1 S1-2	KL1 S1-2
KL1 S3-6	KL1 S3-6
KL11	KL11
KL12 S1	KL12 S1
KL12 S2	KL12 S2
KL12 S3-4	KL12 S3-4
KL12 SXX	KL12 SXX
KL13 S1	KL13 S1
KL13 S3	KL13 S3
KL14	KL14
KL15 S1	KL15 S1
KL19 S1-2	KL19 S1-2
KL2 S1-3	KL2 S1-3
KL2 S4	KL2 S4
KL2 S5	KL2 S5
KL2 S7-8	KL2 S7-8
KL21 S1	KL21 S1
KL21 S3-4	KL21 S3-4
KL21 S5-6	KL21 S5-6
KL22	KL22
KL22 S1-2	KL22 S1-2
KL22 S3-4	KL22 S3-4
KL23 S1-2	KL23 S1-2
KL23 S3-4	KL23 S3-4
KL23 S9	KL23 S9
KL24 S1	KL24 S1
KL24 S2	KL24 S2
KL24 S3-4	KL24 S3-4
KL24 S5-6	KL24 S5-6
KL25 S1-2	KL25 S1-2
KL27 S1	KL27 S1
KL27 S2	KL27 S2
KL27 S3	KL27 S3
KL27 S4	KL27 S4
KL28 S1	KL28 S1
KL28 S2	KL28 S2
KL28 S3	KL28 S3
KL28 S4	KL28 S4
KL29 S1	KL29 S1
KL30 S1	KL30 S1
KL31 S1-6	KL31 S1-6
KL33 S1-6	KL33 S1-6
KL4	KL4
