Code	Name
10	Ajaure-Avgr Gejmån
20	Alvesta-Hemsjö
30	Alvesta-Hurva
40	Alvesta-Sege
45	Anneberg-Danderyd
50	Arrie-Kruseberg
60	Avgr Arosverket-Finnslätten
70	Avgr Bågede-Avgr Gäddede
80	Avgr Degerforsen-Gulsele
90	Avgr Edinge-Gråska
100	Avgr Enafors-Nea
110	Avgr Forsse-Forsmo
120	Avgr Gejmån-Rössåga
130	Avgr Gäddede-Junsternäs
140	Avgr Havsnäs-Avgr Bågede
150	Avgr Hofors-Finnslätten
158	Avgr Håtuna-Överby
160	Avgr Högåsen-Nea
170	Avgr Järkvissle-Hällsjö
180	Avgr Järnvägsforsen-Ånge
190	Avgr Kattstrupeforsen-Mörsil
200	Avgr Korsselbränna-Avgr Storbä
210	Avgr Krylbo-Avesta
220	Avgr Lindhov-Högdalen
230	Avgr Långbjörn-Gulsele
240	Avgr Moforsen-Forsmo
250	Avgr Måby-Avgr Måby
260	Avgr Måby-Överby
270	Avgr Nämforsen-Avgr Moforsen
280	Avgr Näverede-Midskog
290	Avgr Olden-Stensjön
300	Avgr Storbäck-Stalon
310	Avgr Stugun-Avgr Näverede
320	Avgr Torpshammar-Ljusdal
330	Avgr Torpshammar-Vaple
340	Avgr till Arosverket
350	Avgr till Bågede
360	Avgr till Degerforsen
370	Avgr till Edinge
380	Avgr till Enafors
390	Avgr till Forsse
400	Avgr till Gejmån
410	Avgr till Gäddede
420	Avgr till Havsnäs
430	Avgr till Hofors
438	Avgr till Håtuna
440	Avgr till Högåsen
450	Avgr till Junsterforsen
460	Avgr till Järkvissle
470	Avgr till Järnvägsforsen
480	Avgr till Kattstrupeforsen
490	Avgr till Korsselbränna
500	Avgr till Krylbo
510	Avgr till Lindhov
520	Avgr till Moforsen
530	Avgr till Måby
540	Avgr till Nämforsen
550	Avgr till Näverede
560	Avgr till Olden
570	Avgr till Storbäck
580	Avgr till Stugun
590	Avgr till Torpshammar
600	Avgr till Åsele
610	Avgr Åsele-Stenkullafors
618	Barkeryd-Barkeryd
620	Barkeryd-Nässjöbyn
630	Barkeryd-Tenhult
640	Barsebäck-Sege
650	Beckomberga-Bredäng
660	Betåsen-Djurmo
670	Betåsen-Kilforsen
680	Betåsen-Lasele
690	Billdal-Vester Hassing
700	Blaiken-Juktan
710	Blåsjön-Linnvasselv
720	Borgvik-Hasle
730	Borgvik-Kilanda
740	Borgvik-Skogssäter
750	Botkyrka-Bredäng
760	Breared-Söderåsen
770	Bredäng-Älvsjö
780	Bredåker-Avgr Måby
790	Bredåker-Plenninge
800	Bredåker-Överby
810	Bräcke-Ljusdal
820	Bäsna-Hallsberg
830	Bäsna-Repbäcken
839	Danderyd-Järva
840	Danderyd-Lidingö
850	Danderyd-Värtan
860	Dannebo-Finnböle
870	Dannebo-Fågelsundet
880	Dannebo-Rauma Fenno-scan 1
890	Dannebo-Rauma Fenno-scan 2
900	Djupsjön-Avgr Olden
910	Djupsjön-Juveln
920	Djuptjärn-Keminmaa
930	Djurmo-Bäsna
940	Djurmo-Lindbacka
950	Dönje-Ockelbo
960	Ekbacken-Nacka
965	Ekudden-Ekudden
970	Ekudden-Bredäng
980	Ekudden-Högdalen
990	Ekudden-Skarpnäck
1000	Okänt
1010	Ekudden-Solberga
1020	Finnböle-Dannebo
1030	Finnböle-Hamra
1040	Finnböle-Horndal
1050	Fjäturen-Anneberg
1060	Forsmark FT46-Forsmark FT47
1070	Forsmark-Dannebo
1075	Forsmo-Helgum
1080	Forssjön-Avgr Krylbo
1090	Fågelsundet-Björn
1100	Gardikfors-Ajaure
1110	Gasturbin-Stallbacka
1120	Glan-Kimstad
1130	Glan-Kolstad
1140	Glan-Simpevarp
1150	Grundfors-Blaiken
1160	Grundfors-Gardikfors
1170	Grundfors-Ramsele
1180	Grundfors-Storfinnforsen
1190	Gråska-Hallstavik
1193	Grönviken-Stackbo
1200	Gulsele-Hällby
1210	Gustafs-Morgårdshammar
1220	Hagby-Anneberg
1230	Hagby-Avgr Måby
1240	Hagby-Danderyd
1250	Hagby-Fjäturen
1255	Hagby-Hagby
1260	Hagby-Järva
1270	Hagby-Tuna
1280	Hagby-Vallentuna
1290	Hall-Ekudden
1300	Hall-Hedenlunda
1308	Hallsberg-Hallsberg
1310	Hallsberg-Jönköping
1320	Hallsberg-Kimstad
1330	Hallsberg-Moholm
1340	Hallsberg-Timmersdala
1350	Hallsberg-Tälle
1360	Hallsberg-Älberg
1370	Hallsberg-Östansjö
1380	Hammarforsen-Kilen
1390	Hamra-Finnslätten
1395	Hamra-Avgr Håtuna
1400	Hamra-Hall
1405	Hamra-Hamra
1410	Hamra-Håtuna
1420	Hamra-Odensala
1430	Hamra-Åker
1440	Hamra-Överby
1450	Harsprånget-Letsi
1460	Harsprånget-Ligga
1470	Harsprånget-Porjus
1480	Hedenlunda-Glan
1486	Helgum-Stadsforsen
1490	Hemsjö-Barsebäck
1500	Hemsjö-Hurva
1510	Hemsjö-Karlshamn
1520	Himmeta-Avgr till Arosverket
1528	Himmeta-Karlslund
1530	Himmeta-Lindbacka
1537	Hjälta-Helgum
1538	Hjälta-Hjälta
1540	Hjälta-Nysäter
1550	Hjälta-Stöde
1560	Hjälta-Vittersjö
1570	Horndal-Avesta
1580	Horndal-Finnslätten
1590	Horndal-Forssjön
1600	Horndal-Horndal
1610	Horndal-Starfors
1620	Horndal-Untra
1630	Horndal-Västerås
1640	Horred-Breared
1650	Horred-Häradsbo
1660	Horred-Ringhals
1670	Horred-Söderåsen
1680	Horred-Uddebo
1690	Hurva-Barsebäck
1700	Hurva-Sege
1710	Hägerstalund-Beckomberga
1720	Hällby-Avgr Åsele
1730	Hällby-Trattberget
1740	Hällsjö-Söderala
1750	Hällsjö-Vaple
1760	Häradsbo-Söderåsen
